cityName,cloudiness,country,humidity,lat,lng,temp,winds
blenheim,8,ca,93,-41.52,173.96,51.06,11.63
port blair,88,in,100,11.67,92.75,82.11,20.02
baykit,0,ru,78,61.68,96.39,70.86,3.69
mirabad,0,af,23,28.27,61.33,71.67,6.93
klyuchevskiy,100,ru,99,53.53,119.45,55.02,9.17
umm lajj,0,sa,100,25.02,37.27,77.34,6.38
okha,36,ru,99,53.59,142.95,51.51,4.7
christchurch,0,nz,80,-43.53,172.64,39.2,4.7
oskemen,75,kz,87,49.96,82.61,59.0,4.47
elko,1,us,12,40.83,-115.76,82.4,5.82
mangai,12,cd,95,-4.07,19.59,70.41,2.13
aklavik,75,ca,57,68.22,-135.01,50.0,4.7
palivere,100,ee,97,58.97,23.89,53.76,15.32
buraydah,0,sa,19,26.33,43.97,87.8,6.93
takoradi,68,gh,95,4.89,-1.75,76.53,8.61
margate,40,za,70,-43.03,147.26,48.2,10.29
warkworth,92,nz,87,-36.4,174.66,53.6,8.05
avarua,75,ck,83,-21.21,-159.78,78.8,9.17
tiksi,68,ru,72,71.64,128.87,49.35,7.72
am timan,32,td,87,11.04,20.28,72.84,6.93
san patricio,92,mx,99,-26.98,-56.83,55.29,6.04
seoul,75,kr,83,37.57,126.98,70.84,4.7
tessalit,92,ml,18,20.2,1.01,91.74,4.7
biak,76,id,100,-0.91,122.88,75.18,3.02
dongsheng,20,cn,82,29.72,112.52,83.91,14.99
luocheng,0,cn,90,28.29,114.55,81.66,5.37
brumunddal,68,no,70,60.89,10.94,56.64,2.8
fairbanks,36,us,36,64.84,-147.72,65.03,8.05
leningradskiy,100,ru,99,69.38,178.42,32.52,1.12
chapel hill,1,us,39,35.91,-79.06,91.38,5.82
thompson,5,ca,23,55.74,-97.86,77.0,10.29
gazojak,0,tm,55,41.19,61.4,65.28,3.13
werneck,90,de,62,49.98,10.1,57.88,5.82
saskylakh,92,ru,100,71.97,114.09,47.55,12.3
lebu,80,cl,78,8.96,38.73,51.69,1.68
hermanus,68,za,93,-34.42,19.24,45.84,3.58
makakilo city,75,us,69,21.35,-158.09,79.99,6.93
cidreira,92,br,99,-30.17,-50.22,53.58,6.6
barrow,0,us,32,-38.31,-60.23,40.89,16.55
saint-philippe,90,re,93,45.36,-73.48,63.1,6.93
georgetown,40,sh,88,6.8,-58.16,78.8,9.17
kaabong,48,ug,95,3.51,34.14,56.28,2.01
tuktoyaktuk,75,ca,75,69.44,-133.03,42.8,11.41
marawi,80,sd,100,8.0,124.29,69.06,0.78
east london,0,za,100,-33.02,27.91,65.91,12.97
kavieng,48,pg,100,-2.57,150.8,83.1,8.16
vaini,92,to,98,15.34,74.49,68.61,7.61
airai,20,pw,85,-8.93,125.41,68.61,2.35
bluff,88,nz,37,-23.58,149.07,63.21,5.7
tasiilaq,92,gl,93,65.61,-37.64,35.6,2.24
egvekinot,36,ru,69,66.32,-179.17,46.74,6.71
south lake tahoe,1,us,10,38.93,-119.98,85.69,4.7
ribeira grande,20,pt,88,38.52,-28.7,71.6,7.38
bilma,20,ne,31,18.69,12.92,81.39,3.36
valdivia,90,cl,81,-39.81,-73.25,42.8,5.59
mitchell,40,us,61,43.71,-98.03,78.8,4.7
mogadishu,88,so,100,2.04,45.34,76.98,20.36
luganville,44,vu,100,-15.51,167.18,77.7,15.32
pula,75,hr,61,-1.95,-79.93,80.6,4.7
longyearbyen,75,sj,87,78.22,15.63,42.8,11.41
mbekenyera,0,tz,90,-10.0,38.98,62.76,3.36
digras,48,in,85,20.1,77.72,75.45,9.28
qaanaaq,56,gl,100,77.48,-69.36,31.26,3.69
hofn,92,is,99,64.25,-15.21,48.81,23.15
fort-shevchenko,68,kz,87,44.51,50.26,73.56,8.95
dharur,36,in,97,18.82,76.11,69.69,9.73
constitucion,75,mx,39,23.99,-104.67,78.8,7.94
thinadhoo,76,mv,100,0.53,72.93,81.84,3.91
hithadhoo,8,mv,100,-0.6,73.08,79.41,1.9
karpathos,0,gr,83,35.51,27.21,73.4,20.8
hambantota,20,lk,100,6.12,81.12,78.42,14.43
albion,1,mu,65,41.69,-98.0,78.06,5.82
vostok,0,ru,63,46.45,135.83,57.54,2.35
brae,64,gb,87,60.4,-1.35,50.76,14.99
anito,48,ph,100,12.45,125.29,82.92,5.7
abu dhabi,0,ae,52,24.47,54.37,88.66,8.05
port moresby,40,pg,94,-9.47,147.16,75.2,2.24
klaksvik,44,fo,100,62.23,-6.59,48.2,9.17
tyrma,48,ru,75,50.04,132.17,58.26,3.58
cherskiy,0,ru,44,68.75,161.3,53.76,6.15
sar-e pul,0,af,68,36.22,65.93,47.82,2.8
lavrentiya,80,ru,96,65.58,-170.99,39.27,7.16
port augusta,90,au,100,-32.49,137.76,42.8,3.36
bani walid,0,ly,67,31.76,14.0,69.51,8.39
rosetta,0,eg,69,31.4,30.42,77.0,8.05
khonsa,48,in,95,26.99,95.51,71.94,2.57
gat,0,ly,70,14.69,-16.54,84.2,4.7
ulkan,44,ru,69,57.24,107.32,65.82,7.05
ibra,24,om,73,22.69,58.55,70.41,1.9
muli,68,mv,84,22.62,71.45,81.12,7.94
sendafa,80,et,78,9.16,39.02,51.69,1.68
hobyo,36,so,81,5.35,48.53,75.72,18.01
jalu,0,ly,31,29.03,21.55,79.5,11.74
ahipara,92,nz,100,-35.17,173.16,52.5,19.01
yellowknife,40,ca,52,62.45,-114.38,69.8,14.99
huilong,32,cn,94,28.89,110.18,76.62,1.45
shwebo,92,mm,93,22.57,95.7,75.81,10.63
thayetmyo,80,mm,97,19.32,95.18,75.0,10.96
alice springs,8,au,64,-23.7,133.88,37.4,8.05
berlevag,20,no,91,70.86,29.09,44.67,12.97
atambua,0,id,100,-9.11,124.89,76.8,13.76
port alfred,0,za,100,-33.59,26.89,56.82,3.24
upernavik,56,gl,100,72.79,-56.15,29.46,11.63
kaitangata,88,nz,96,-46.28,169.85,40.62,23.04
narsaq,75,gl,80,60.91,-46.05,41.0,11.41
takayama,40,jp,56,36.14,137.25,73.4,6.93
sao filipe,36,cv,100,14.9,-24.5,73.38,10.29
pala,40,td,94,9.71,76.68,77.0,0.78
alihe,92,cn,99,50.57,123.73,56.46,8.61
aguimes,0,es,73,27.91,-15.45,69.8,13.87
svetlaya,12,ru,90,46.54,138.33,53.4,6.71
hasaki,75,jp,94,35.73,140.83,71.6,3.36
vestmannaeyjar,92,is,100,63.44,-20.27,48.09,18.57
kaeo,92,nz,97,-35.1,173.78,53.49,16.11
bilibino,92,ru,100,68.06,166.44,53.94,2.91
castro,88,cl,100,-42.48,-73.76,46.29,3.69
yumen,100,cn,44,40.29,97.04,70.59,9.17
mandera,80,ke,47,3.94,41.86,83.55,13.09
geraldton,5,au,30,49.72,-86.95,69.8,5.82
nanortalik,88,gl,100,60.14,-45.24,36.12,11.18
victoria,75,sc,94,5.28,115.24,77.0,1.12
bacolod,64,ph,97,10.68,122.95,78.42,1.34
kulhudhuffushi,88,mv,100,6.62,73.07,81.66,15.43
babstovo,24,ru,68,48.12,132.48,62.4,4.25
turan,0,ru,69,52.15,93.92,62.58,3.13
waipawa,12,nz,75,-39.94,176.59,50.43,15.99
bambous virieux,75,mu,73,-20.34,57.76,73.4,11.41
faya,0,td,24,18.39,42.45,72.52,3.24
esperance,20,au,94,10.24,-61.45,77.0,12.75
moissala,32,td,92,8.34,17.77,69.33,3.36
constantine,40,dz,64,36.36,6.61,69.8,6.93
bredasdorp,76,za,71,-34.53,20.04,50.0,5.82
nongpoh,75,in,100,25.9,91.88,82.4,1.9
lewistown,1,us,65,40.39,-90.15,81.07,6.93
caravelas,0,br,98,-17.73,-39.27,77.07,10.74
misratah,0,ly,87,32.38,15.09,73.74,12.97
lata,12,sb,79,30.78,78.62,56.37,2.13
pella,1,us,78,41.41,-92.92,74.97,12.64
yaan,88,cn,97,7.38,8.57,73.56,5.59
te anau,76,nz,94,-45.41,167.72,36.21,6.49
samarai,80,pg,100,-10.62,150.67,77.52,15.21
amantea,75,it,64,39.13,16.07,71.6,6.93
touros,88,br,80,-5.2,-35.46,79.5,19.01
potsdam,75,us,93,52.4,13.06,56.28,5.82
tura,92,ru,100,25.52,90.21,74.46,2.01
guilin,75,cn,100,25.28,110.29,75.2,4.47
casablanca,40,ma,77,33.6,-7.62,68.0,6.93
barsovo,75,ru,100,61.17,73.17,55.4,11.18
lingao,56,cn,100,19.91,109.69,79.68,4.36
kaseda,20,jp,100,31.42,130.32,62.6,4.7
fuling,12,cn,84,29.71,107.39,79.95,3.47
oistins,75,bb,74,13.07,-59.53,82.4,26.4
mitha tiwana,0,pk,84,32.24,72.11,75.36,2.46
staryy krym,8,ua,96,45.03,35.1,64.92,11.3
bethel,90,us,51,60.79,-161.76,60.8,3.36
zalaszentgrot,0,hu,93,46.94,17.08,53.6,4.7
alta floresta,20,br,45,-9.87,-56.08,86.0,4.7
cockburn town,56,bs,97,21.46,-71.14,82.29,20.92
luderitz,20,na,93,-26.65,15.16,49.08,10.96
birjand,0,ir,15,32.86,59.22,75.2,13.87
rikitea,0,pf,100,-23.12,-134.97,75.99,13.42
belyy yar,0,ru,72,53.6,91.39,60.8,2.8
patnos,75,tr,88,39.23,42.86,71.6,14.99
shizunai,8,jp,87,42.33,142.37,56.91,11.74
dwarka,40,in,41,28.58,77.04,95.0,5.82
tambacounda,75,sn,39,13.77,-13.67,96.8,6.93
pangnirtung,64,ca,99,66.15,-65.72,33.51,6.71
yulara,0,au,52,-25.24,130.99,41.0,6.93
rincon,40,an,44,32.3,-81.24,93.0,8.05
guerrero negro,0,mx,56,27.97,-114.04,75.0,9.95
simao,92,cn,97,22.76,100.79,68.34,2.68
lorengau,12,pg,100,-2.02,147.27,82.38,7.38
torbay,90,ca,100,47.66,-52.73,51.8,5.82
vao,8,nc,100,59.1,26.19,55.02,7.16
bulgan,20,mn,81,48.81,103.53,58.08,3.91
mastic beach,75,us,83,40.77,-72.85,73.13,8.05
exeter,0,us,77,50.73,-3.53,59.0,2.24
isla mujeres,75,mx,70,21.23,-86.73,86.0,6.93
butterworth,75,za,94,5.4,100.37,77.04,4.47
halvad,68,in,84,23.02,71.18,81.12,7.94
sinazongwe,0,zm,98,-17.26,27.46,58.35,2.8
haines junction,80,ca,35,60.75,-137.51,57.72,2.91
deputatskiy,8,ru,28,69.3,139.9,76.26,3.69
warrnambool,92,au,100,-38.38,142.48,52.32,5.93
atuona,92,pf,100,-9.8,-139.03,80.31,19.69
tainan,40,tw,88,22.99,120.21,80.78,1.12
graham,75,us,43,36.07,-79.4,90.95,9.17
clyde river,90,ca,86,70.47,-68.59,39.2,5.82
ciudad bolivar,64,ve,97,8.12,-63.55,75.72,7.83
souillac,0,mu,55,45.6,-0.6,65.19,8.05
hami,20,cn,46,42.84,93.51,71.58,3.58
usinsk,8,ru,86,66.0,57.56,61.5,2.68
amahai,76,id,100,-3.31,129.0,79.5,12.41
ajdabiya,0,ly,79,30.75,20.22,69.87,8.61
kodiak,1,us,69,39.95,-94.76,80.6,11.41
atasu,88,kz,65,48.68,71.64,60.78,8.95
wenling,56,cn,89,28.38,121.38,80.58,6.15
tezu,64,in,91,27.93,96.16,66.54,0.56
sungai udang,75,my,78,5.16,100.43,76.95,3.36
yerbogachen,0,ru,67,61.28,108.01,72.66,4.25
saldanha,0,za,79,41.42,-6.55,65.19,3.36
nalut,0,ly,55,31.86,10.98,70.86,3.8
najran,0,sa,18,17.54,44.22,80.6,2.13
lake city,1,us,10,38.03,-107.32,70.74,14.99
aasiaat,32,gl,99,68.71,-52.87,39.72,9.62
mehamn,48,no,89,71.03,27.85,45.3,12.19
katsuura,0,jp,78,33.93,134.5,71.6,3.36
launceston,36,au,100,-41.43,147.14,32.0,3.36
isangel,0,vu,100,-19.55,169.27,72.84,13.65
batagay,32,ru,54,67.65,134.64,77.88,4.36
taiyuan,92,cn,64,37.86,112.56,75.2,2.24
orje,44,no,52,59.48,11.66,64.4,5.82
lichuan,80,cn,94,30.3,108.94,71.13,3.13
laguna,5,br,30,27.52,-110.01,93.2,9.17
ojinaga,0,mx,9,29.56,-104.41,103.08,6.93
verkhoshizhemye,8,ru,83,58.01,49.1,68.07,2.8
ossora,0,ru,83,59.24,163.07,55.83,3.91
saint-augustin,0,ca,56,44.83,-0.61,69.8,9.17
anqing,0,cn,86,30.51,117.04,83.46,9.73
sovetskaya,0,ru,95,44.78,41.17,64.2,2.68
hope mills,75,us,62,34.97,-78.95,86.56,11.41
juneau,90,us,87,58.3,-134.42,55.4,6.93
beringovskiy,68,ru,100,63.05,179.32,43.86,13.42
garden city,75,us,78,40.73,-73.63,79.86,11.41
sorland,92,no,96,67.67,12.69,49.08,17.56
puerto asis,56,co,93,0.51,-76.5,73.56,1.68
ifakara,0,tz,81,-8.13,36.68,60.42,2.57
nakamura,20,jp,69,35.17,136.87,75.2,8.05
kutum,32,sd,48,14.2,24.66,74.19,9.51
husavik,0,is,72,50.56,-96.99,73.74,11.41
bihoro,8,jp,81,43.75,144.14,57.36,8.84
nizwa,68,om,24,22.93,57.53,78.78,1.9
shiyan,48,cn,87,32.65,110.78,77.34,0.78
camacupa,0,ao,65,-12.02,17.48,45.21,2.68
andros,0,gr,68,37.83,24.93,69.73,14.99
sambava,88,mg,100,-14.27,50.17,72.39,21.25
luang prabang,92,la,98,19.89,102.14,70.59,2.13
zapadnaya dvina,48,ru,90,56.26,32.09,53.04,7.94
pamanukan,92,id,100,-6.28,107.82,76.35,0.67
lasa,75,cn,88,34.92,32.53,73.63,6.93
blind river,1,ca,52,46.19,-82.96,67.05,4.92
metro,92,id,100,-5.11,105.31,73.29,4.92
veraval,0,in,67,49.65,0.71,57.79,6.93
san quintin,20,mx,100,17.54,120.52,77.0,2.24
sumbe,0,ao,100,-11.2,13.84,66.72,2.35
abu samrah,0,qa,77,35.3,37.18,66.72,9.62
moerai,0,pf,100,-22.43,-151.33,76.98,8.16
ceuta,8,es,43,23.9,-106.93,87.78,5.37
taksimo,92,ru,99,56.36,114.84,53.31,2.57
sobolevo,68,ru,88,54.43,31.9,53.76,4.7
ngaoundere,24,cm,92,7.32,13.58,58.8,3.02
forestville,40,ca,62,48.74,-69.09,59.0,5.82
evensk,36,ru,83,61.92,159.24,52.32,4.36
kavaratti,76,in,100,10.57,72.64,78.33,18.79
flinders,0,au,80,-34.58,150.85,41.0,11.41
noumea,20,nc,72,-22.28,166.46,68.0,1.12
harindanga,75,in,88,22.04,88.32,80.6,3.36
lake havasu city,1,us,10,34.47,-114.34,104.09,6.93
biaora,24,in,84,23.92,76.91,77.61,7.38
sol-iletsk,0,ru,62,51.16,55.0,60.15,4.7
jiuquan,92,cn,89,39.73,98.49,56.46,4.36
dunedin,0,nz,71,-45.87,170.5,41.79,19.24
luanda,0,ao,83,-8.83,13.24,71.6,3.36
longkou,92,cn,82,37.64,120.47,74.28,14.09
noyabrsk,56,ru,100,63.2,75.45,56.91,8.72
ust-kulom,0,ru,83,61.69,53.69,63.03,2.35
gawler,75,au,81,-34.6,138.75,44.6,6.15
charters towers,44,au,75,-20.07,146.27,63.12,8.16
poso,92,id,100,-1.4,120.75,72.75,2.35
sfantu gheorghe,0,ro,67,44.65,26.83,59.9,4.7
idrija,75,si,93,46.0,14.03,61.72,2.24
puro,20,ph,93,13.13,123.76,81.48,2.35
fukuma,20,jp,78,33.77,130.47,72.43,14.99
dingle,20,ie,99,11.0,122.67,78.78,2.68
cayenne,68,gf,100,4.94,-52.33,73.4,9.17
kpandu,88,gh,85,7.0,0.29,75.27,6.6
kidal,20,ml,61,18.44,1.41,77.61,3.8
erenhot,56,cn,90,43.65,111.97,66.72,3.58
funtua,20,ng,96,11.52,7.31,68.16,6.71
kabare,32,cd,100,-1.65,29.38,56.82,2.35
barentu,8,er,97,15.11,37.59,62.04,2.68
kailua,90,us,74,21.39,-157.74,80.02,11.41
madang,0,pg,93,-5.21,145.81,78.78,2.13
eureka,40,us,87,40.8,-124.16,60.82,13.87
wajima,20,jp,85,37.4,136.9,73.29,4.92
uvalde,1,us,29,29.21,-99.79,100.4,21.92
xinqing,68,cn,65,48.28,129.53,60.51,7.05
aksu,75,kz,88,52.04,76.93,64.4,3.58
kindu,20,cd,95,-2.95,25.92,68.52,1.12
mahebourg,75,mu,73,-20.41,57.7,73.4,11.41
pishin,0,pk,31,30.58,67.0,51.87,6.04
antalya,40,tr,88,36.9,30.69,75.2,3.36
provideniya,90,ru,93,64.42,-173.23,42.8,6.71
broome,0,au,62,52.47,1.45,60.82,3.36
dumai,80,id,87,1.68,101.45,77.34,3.24
cabo san lucas,5,mx,54,22.89,-109.91,82.54,20.8
necochea,0,ar,79,-38.55,-58.74,37.65,14.43
mae hong son,92,th,98,19.3,97.96,69.96,2.24
nyagan,0,ru,80,62.14,65.43,54.12,3.69
tuatapere,92,nz,100,-46.13,167.69,43.32,21.25
buala,92,sb,100,-8.15,159.59,79.95,7.61
bolgar,24,ru,82,54.97,49.03,66.2,4.47
talakan,12,ru,74,50.29,130.28,63.21,7.72
perth,0,au,93,56.4,-3.43,54.63,3.36
fallon,1,us,53,46.84,-105.12,75.2,3.36
tokur,8,ru,56,53.13,132.9,63.66,3.13
ankazoabo,0,mg,83,-22.29,44.51,51.78,3.36
kayerkan,56,ru,79,69.35,87.76,63.48,10.74
porbandar,92,in,88,21.64,69.61,82.83,14.54
epe,75,ng,93,52.18,7.04,55.4,8.05
pitsunda,20,ge,88,43.16,40.34,69.8,8.95
port-gentil,90,ga,88,-0.72,8.78,77.0,9.17
honningsvag,76,no,92,70.98,25.97,45.66,11.97
shushtar,0,ir,52,32.05,48.86,75.18,2.91
naryan-mar,0,ru,90,67.67,53.09,50.88,1.79
boyolangu,12,id,96,-8.09,111.9,70.14,6.38
camacha,40,pt,77,33.08,-16.33,68.0,5.82
altay,0,cn,49,47.83,88.13,57.45,4.92
ust-kuyga,56,ru,76,70.0,135.55,73.29,2.24
raudeberg,92,no,93,61.99,5.14,53.08,11.41
north platte,90,us,93,41.12,-100.77,62.6,14.99
algiers,40,dz,59,29.94,-90.04,91.04,12.75
isla vista,90,us,64,34.41,-119.86,72.16,8.05
poya,0,nc,100,-21.35,165.16,71.94,10.4
nyurba,36,ru,65,63.29,118.35,73.74,3.69
sibolga,48,id,100,1.74,98.78,67.08,2.46
kabo,8,cf,94,7.69,18.62,68.88,2.91
licata,80,it,96,37.11,13.95,65.82,7.05
diu,88,in,96,20.71,70.98,79.32,8.16
rapid valley,75,us,93,44.06,-103.15,59.77,14.99
gwadar,0,pk,96,25.12,62.33,84.09,5.82
nynashamn,20,se,76,58.9,17.95,50.86,3.36
lagoa,0,pt,68,37.14,-8.45,71.6,8.05
goundi,44,td,93,9.36,17.37,71.49,3.69
yinchuan,88,cn,72,38.48,106.21,70.86,4.25
alakurtti,0,ru,85,66.96,30.34,44.13,2.13
carauari,12,br,80,-4.88,-66.9,79.41,3.36
nizhnevartovsk,40,ru,100,60.93,76.58,57.2,4.92
ostersund,48,se,66,63.18,14.64,53.6,2.24
emba,75,kz,88,34.81,32.42,73.69,6.93
nishihara,1,jp,57,35.74,139.53,75.16,3.36
ola,20,ru,72,59.58,151.3,64.4,2.24
marystown,92,ca,96,47.17,-55.16,51.69,3.13
atar,0,mr,25,20.52,-13.05,83.64,8.72
yarada,44,in,100,17.65,83.27,82.47,26.51
mitsamiouli,20,km,73,-11.38,43.28,73.4,6.93
kungurtug,0,ru,71,50.6,97.53,56.28,3.13
roma,40,au,68,41.89,12.48,68.61,1.12
sarangani,88,ph,100,5.4,125.46,82.74,7.94
martapura,8,id,94,-3.41,114.85,75.2,1.12
buta,8,cd,92,2.79,24.73,71.67,2.13
keti bandar,56,pk,98,24.14,67.45,84.18,19.24
vysokogornyy,24,ru,78,50.1,139.13,54.21,3.13
ponta do sol,76,cv,49,-20.63,-46.0,69.33,5.59
hudson bay,48,ca,83,52.86,-102.4,70.68,4.81
mbandaka,92,cd,100,0.05,18.26,71.58,2.68
mandali,0,iq,28,33.75,45.55,80.67,9.62
carberry,75,ca,61,49.87,-99.36,77.0,16.11
tonstad,75,no,87,58.66,6.71,53.6,11.41
ilinskiy,75,ru,87,55.62,38.12,57.2,6.71
medyn,8,ru,89,54.97,35.86,48.63,3.02
dir,64,pk,98,6.33,13.54,63.66,2.91
zlobin,20,by,72,45.29,14.65,64.4,2.24
ilam,0,np,31,33.64,46.42,73.4,4.7
vanavara,0,ru,70,60.35,102.28,72.75,3.58
lima,12,pe,76,-12.06,-77.04,57.99,2.57
minab,20,ir,79,27.15,57.07,87.8,6.93
taoudenni,0,ml,11,22.68,-3.98,81.39,10.29
talcahuano,0,cl,70,-36.72,-73.12,46.4,8.05
poronaysk,92,ru,95,49.22,143.1,47.64,7.05
rapar,32,in,80,23.57,70.65,82.29,10.18
marsa matruh,0,eg,78,31.35,27.25,75.2,8.05
lidkoping,64,se,87,58.51,13.16,54.18,6.93
port hawkesbury,90,ca,87,45.62,-61.36,57.2,10.29
bandar,92,id,99,-4.2,104.14,70.23,4.59
svencioneliai,12,lt,100,55.17,26.0,48.72,5.37
banda aceh,44,id,98,5.56,95.32,75.81,2.57
yakeshi,88,cn,91,49.28,120.73,61.68,11.86
northam,0,au,77,51.04,-4.21,60.8,2.24
kaduy,44,ru,68,59.2,37.15,62.49,8.72
praia,0,cv,60,-20.25,-43.81,70.65,4.7
hay river,40,ca,53,60.82,-115.79,73.4,5.82
torrox,56,es,47,36.76,-3.95,76.98,5.82
maragogi,92,br,83,-9.01,-35.22,75.63,10.4
lastoursville,88,ga,91,-0.81,12.73,74.46,2.57
istisu,80,az,61,40.95,48.07,67.35,1.68
lukulu,24,zm,41,-14.38,23.24,63.66,9.73
kampong thum,88,kh,96,12.71,104.89,75.72,1.79
belaya gora,0,ru,50,68.54,146.19,69.87,4.25
bayan,0,kw,66,47.25,107.54,57.72,4.36
cocobeach,40,ga,88,1.01,9.58,78.8,5.82
bintulu,90,my,100,3.17,113.03,73.4,5.82
oranjestad,20,an,78,12.52,-70.03,82.4,24.16
gulfport,1,us,59,30.37,-89.09,91.42,9.17
kununurra,0,au,34,-15.77,128.74,66.2,8.05
floro,92,no,93,61.6,5.03,51.19,11.41
mezen,48,ru,65,65.85,44.24,58.08,4.36
punta alta,90,ar,87,-27.46,-55.82,54.23,8.05
acayucan,20,mx,66,17.95,-94.91,89.6,11.41
salalah,75,om,88,17.01,54.1,80.6,8.05
ormara,76,pk,93,25.21,64.64,84.45,11.52
ordu,92,tr,99,40.98,37.88,61.05,1.68
gushikawa,75,jp,88,26.35,127.87,82.4,8.05
avanigadda,36,in,85,16.02,80.92,78.87,12.86
oksfjord,75,no,71,70.24,22.35,47.14,3.36
shangrao,0,cn,76,28.45,117.97,82.92,3.13
los llanos de aridane,0,es,68,28.66,-17.92,71.6,3.36
aden,68,ye,95,12.79,45.03,83.91,4.25
rio gallegos,0,ar,80,-51.62,-69.22,35.6,14.99
almaznyy,12,ru,58,48.03,40.04,69.6,9.28
pacific grove,75,us,72,36.62,-121.92,68.05,14.99
blankenberge,0,be,62,51.31,3.13,58.06,9.17
praia da vitoria,75,pt,83,38.73,-27.07,71.6,8.95
bongandanga,88,cd,100,1.51,21.07,68.7,3.69
axim,92,gh,97,4.87,-2.24,77.88,12.64
marhaura,75,in,74,25.97,84.87,84.2,9.17
sechura,24,pe,80,-5.56,-80.82,70.41,12.75
loandjili,90,cg,83,-4.77,11.87,75.2,4.7
mwinilunga,80,zm,55,-11.73,24.43,59.07,2.91
chocaman,88,mx,96,19.02,-97.02,59.07,0.78
morwa,92,in,94,22.9,73.84,77.7,6.6
langsa,64,id,94,4.47,97.97,69.69,2.13
benguela,44,ao,100,-12.58,13.4,67.8,2.91
grand gaube,75,mu,73,-20.01,57.66,73.4,11.41
szalkszentmarton,0,hu,87,46.98,19.01,57.36,4.7
imbituba,75,br,82,-28.24,-48.67,59.0,3.36
macapa,75,br,100,0.05,-51.07,75.2,2.24
